,speciesGroup,taxonomicRankKingdom,taxonomicRankPhylum,taxonomicRankClass,taxonomicRankOrder,taxonomicRankFamily,taxonomicRankGenus,taxonomicRankSpecies,endemicToEurope,populationTrend,useAndTrade,europeanRegionalRedListCategory
850,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,ferruginata,Yes,Stable,not utilized,LC
851,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,flava,Yes,Stable,not utilized,LC
855,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,flavoguttata,No,Stable,not utilized,LC
856,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,flavopicta,No,Stable,not utilized,LC
857,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,fucata,No,Stable,not utilized,LC
858,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,fulvicornis,No,Stable,not utilized,LC
861,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,fusca,Yes,Stable,not utilized,LC
862,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,fuscicornis,No,Stable,not utilized,LC
864,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,glaucopis,No,Stable,not utilized,LC
865,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,goodeniana,No,Stable,not utilized,LC
870,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,guttulata,No,Stable,not utilized,LC
871,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,hera,No,Stable,not utilized,LC
